54.1	1	1
54.3	1	1
54.5	1	1
54.6	1	1
54.8	1	1
54.9	0	0
55.2	0	0
55.3	0	0
55.5	1	1
55.7	1	1
55.8	1	1
56.0	0	0
56.1	0	0
56.3	0	0
56.5	0	0
56.6	0	0
56.9	0	0
57.0	0	0
57.2	0	0
57.3	0	0
57.5	0	0
57.7	0	0
57.8	0	0
58.0	0	0
58.1	0	0
58.3	0	0
58.5	0	0
58.7	0	0
58.9	0	0
59.0	0	0
59.2	0	0
59.3	0	0
59.5	0	0
59.6	0	0
59.8	0	0
60.0	0	0
60.2	1	1
60.4	1	1
60.5	1	1
60.7	1	1
60.9	1	1
61.0	1	1
61.2	1	1
61.3	1	1
61.5	1	1
61.6	1	1
61.9	1	1
62.1	1	1
62.2	0	0
62.4	0	0
62.6	0	0
62.7	1	1
62.9	0	0
63.0	0	0
63.2	0	0
63.4	0	0
63.6	0	0
63.8	0	0
63.9	0	0
64.1	0	0
64.3	0	0
64.4	0	0
64.6	0	0
64.7	0	0
64.9	0	0
65.1	0	0
65.3	0	0
65.5	0	0
65.6	0	0
65.8	0	0
66.0	0	0
66.1	0	0
66.3	1	1
66.4	1	1
66.6	1	1
66.8	1	1
67.0	1	1
67.2	1	1
67.4	1	1
67.5	1	1
67.7	1	1
67.8	1	1
68.0	1	1
68.2	0	0
68.3	0	0
68.5	0	0
68.7	0	0
68.9	0	0
69.1	0	0
69.2	0	0
69.4	0	0
69.5	1	1
69.7	1	1
69.9	1	1
70.0	1	1
70.2	1	1
70.4	1	1
70.6	1	1
70.8	1	1
70.9	1	1
71.1	1	1
71.2	1	1
71.4	1	1
71.6	1	1
71.7	1	1
71.9	1	1
72.2	1	1
72.3	1	1
72.5	1	1
72.7	1	1
72.8	1	1
73.0	1	1
73.1	1	1
73.3	1	1
73.5	1	1
73.6	1	1
73.9	1	1
74.0	1	1
74.2	1	1
74.3	0	0
74.4	0	0
74.6	0	0
74.7	0	0
74.9	0	0
75.0	0	0
75.2	0	0
75.4	0	0
75.5	0	0
75.7	0	0
75.8	0	0
76.0	0	0
76.1	0	0
76.2	0	0
76.4	0	0
76.5	0	0
76.7	0	0
76.9	0	0
77.0	0	0
77.2	0	0
77.3	0	0
77.5	0	0
77.6	0	0
77.7	0	0
77.9	0	0
78.0	0	0
78.2	0	0
78.4	0	0
78.6	0	0
78.7	0	0
78.8	0	0
79.0	0	0
79.1	0	0
79.3	0	0
79.4	0	0
79.6	0	0
79.7	0	0
80.0	0	0
80.1	0	0
80.3	0	0
80.4	0	0
80.5	0	0
80.7	0	0
80.8	0	0
81.0	0	0
81.1	1	1
81.3	0	0
81.5	0	0
81.7	0	0
81.8	0	0
81.9	0	0
82.1	1	1
82.2	1	1
82.4	1	1
82.5	1	1
82.7	1	1
82.8	1	1
83.1	1	1
83.2	1	1
83.3	1	1
83.5	1	1
83.6	1	1
83.8	1	1
83.9	1	1
84.1	1	1
84.2	1	1
84.4	1	1
84.6	1	1
84.8	0	0
84.9	0	0
85.1	0	0
85.2	0	0
85.3	0	0
85.5	0	0
85.6	0	0
85.8	0	0
85.9	0	0
86.2	0	0
86.3	0	0
86.4	0	0
86.6	0	0
86.7	0	0
86.9	0	0
87.0	0	0
87.2	0	0
87.3	0	0
87.5	0	0
87.7	0	0
87.9	0	0
88.0	0	0
88.2	0	0
88.3	0	0
88.4	0	0
88.6	0	0
88.7	0	0
88.9	0	0
89.0	0	0
89.3	0	0
89.4	0	0
89.5	0	0
89.7	0	0
89.8	0	0
90.0	0	0
